"V1","V2","V3","V4","V5","V6"
-6704.72649381083,-6685.07056074105,-6684.18939999748,-6714.59678638625,-6698.52735713238,-6725.99700136681
-6678.73936896295,-6697.60312917226,-6689.93567003727,-6689.86590720503,-6711.14613966177,-6709.20685862331
-6687.32208029663,-6691.44116251566,-6687.58350304755,-6686.64765663667,-6685.29839872877,-6706.72445765237
-6675.75941834837,-6720.50375894226,-6683.60861015216,-6691.67930511952,-6697.54409922315,-6695.9734697116
-6669.88398677044,-6696.42635157559,-6672.37433554035,-6708.38214225403,-6700.72101014842,-6695.60512521968
-6669.68598035888,-6699.36085773122,-6683.92533256921,-6704.31068574466,-6701.74446960942,-6687.40070695346
-6699.72852842945,-6703.94300731343,-6675.66576124735,-6703.21660388736,-6696.55661950413,-6695.30766986986
-6689.8556759492,-6688.40150391174,-6688.23098895778,-6692.16685678608,-6702.77451174643,-6695.80046029455
-6693.9278781636,-6711.40882707182,-6688.18452869898,-6689.96405793993,-6705.5142414483,-6692.78564412705
-6687.04841523916,-6701.08019506377,-6691.90355684885,-6701.94693106431,-6711.99152277,-6700.64186212563
-6686.78993764524,-6695.84824647255,-6682.99457112182,-6727.25801186877,-6686.4157366419,-6702.72616684117
-6688.15137051663,-6693.8536915793,-6687.79007283703,-6700.62715171379,-6705.74217172758,-6700.98457387418
-6689.12293371379,-6686.63713205549,-6692.33245163371,-6696.66183838693,-6700.46222183489,-6707.99912781735
-6696.64675162016,-6683.02566433969,-6704.16016780412,-6686.32306376289,-6689.17203170282,-6717.0256609223
-6684.16085465614,-6687.89021044134,-6687.53723001978,-6696.85090937075,-6688.04061101753,-6703.95206960052
-6693.39167567414,-6700.0710338546,-6693.69933156487,-6688.42056056,-6700.98380285291,-6708.21589908113
-6685.99020349364,-6689.97481203921,-6675.95625926173,-6702.19868421552,-6711.41422076584,-6711.56353975426
-6687.31645591541,-6714.14312360862,-6701.90288999817,-6709.66879224399,-6700.85494497073,-6697.9451398576
-6697.64237958275,-6689.9755854677,-6692.72618886921,-6692.83000034948,-6684.56496793966,-6707.85839245825
-6686.6107413978,-6726.49782461493,-6673.57117516938,-6693.54505623631,-6715.18013622236,-6718.48758412297
-6693.40548858402,-6688.83125597367,-6681.97761417488,-6720.39550249809,-6697.82996245268,-6709.86072827963
-6683.27831900369,-6682.77436181446,-6681.55469918952,-6692.71728454847,-6703.77858736496,-6712.04916080184
-6679.74157412922,-6686.1984501122,-6682.51571533554,-6687.00841824415,-6688.08968808322,-6706.15578097721
-6697.60144140149,-6691.51109353563,-6682.48365597276,-6696.64145666386,-6687.91981772206,-6702.71308369098
-6678.14443941675,-6693.14550041691,-6677.96487683633,-6689.18173420654,-6710.04612512123,-6734.54752889118
-6683.97075467728,-6683.56952082762,-6680.4012298299,-6684.65043921343,-6692.53823698065,-6703.45068386531
-6689.02127659111,-6699.2425050526,-6694.07461239148,-6683.35674085342,-6690.45773238977,-6720.24003854178
-6679.53695375471,-6683.16371415534,-6689.65152763848,-6685.2305448436,-6708.29968835402,-6691.42323655082
-6687.8817189704,-6700.3730426575,-6698.26625544697,-6718.88137724525,-6707.83577672321,-6713.79757965435
-6690.05442835238,-6689.23894627978,-6693.67943313759,-6694.2898621159,-6701.97075999188,-6699.01616955391
-6678.67459411543,-6702.05158225041,-6682.26888098603,-6706.1105273099,-6701.33008260232,-6711.62897567651
-6676.53873503487,-6722.29201209122,-6686.64905504796,-6688.65783742847,-6695.8859210925,-6722.29799431755
-6672.69566732329,-6699.0967219938,-6684.56619572915,-6690.17981152861,-6693.01830673929,-6707.94966073059
-6686.07424999433,-6691.14440434549,-6698.59973475429,-6689.06840117763,-6706.41165474146,-6734.2682011591
-6683.21308052388,-6686.45613196432,-6692.98733125363,-6688.50726387433,-6685.05006197357,-6733.06259037078
-6699.19803811123,-6693.85074393138,-6689.53902791806,-6689.81574165661,-6693.36163790763,-6710.27255661755
-6691.13873052661,-6683.37777391181,-6682.4013010061,-6681.43405583777,-6699.14563283051,-6688.04502519284
-6698.08680283008,-6691.19974326321,-6682.64762735476,-6691.19013279405,-6724.23442759071,-6729.53171330879
-6692.73193484941,-6705.56859164676,-6677.30279441221,-6687.45787508869,-6705.51517967908,-6701.96080540497
-6699.15409918412,-6687.00561741428,-6682.34911962776,-6699.47253172314,-6709.26677502735,-6707.8989300623
-6687.79131196661,-6711.86919464527,-6677.30002439704,-6701.98546428006,-6692.42752377289,-6702.36386916253
-6697.00598667183,-6696.90100420186,-6710.02878972048,-6696.75846357707,-6696.71360740369,-6704.15125556805
-6694.8108259829,-6698.62060301957,-6679.91028532418,-6700.4343100971,-6691.70349401681,-6707.44081966382
-6681.05292330669,-6680.4022077008,-6678.2009382246,-6688.80234169775,-6693.72682952926,-6705.44736774886
-6684.03562354228,-6691.06817440849,-6683.98617970098,-6699.2615269347,-6739.53795442713,-6726.81565452289
-6711.98110934836,-6689.97824335799,-6686.37883404567,-6702.87805886242,-6706.2892599162,-6699.40925877848
-6684.67744783434,-6689.55584920244,-6702.30836291685,-6693.65943776981,-6696.689174142,-6704.01358241222
-6692.04605328631,-6684.35402757923,-6691.60729707561,-6711.59064246551,-6712.08050574317,-6703.04596409922
-6681.21022283357,-6689.90822898203,-6675.27296868343,-6707.90418508185,-6680.51126033314,-6695.36963191386
-6690.62228561186,-6699.8151465122,-6695.07797980086,-6696.99801024979,-6729.48726379011,-6697.19070121062
-6693.71078354554,-6685.52571820152,-6690.93474154617,-6716.05050115379,-6682.82405182042,-6714.9315839239
-6678.3363413425,-6685.71619403936,-6687.20702696365,-6709.21565539159,-6707.88560844466,-6703.77120778388
-6674.4935660921,-6697.97474083878,-6707.95213997264,-6695.2210442069,-6694.02287541339,-6706.92214083467
-6684.71068328173,-6703.58105819183,-6699.27015883577,-6698.28254323546,-6684.05038039825,-6713.09127946282
-6690.13037987827,-6699.82813550311,-6703.32439645067,-6697.0603327455,-6696.02859847104,-6709.53148696431
-6680.99109784674,-6685.13741725107,-6707.87483764912,-6720.49617409432,-6676.70573831688,-6715.9547179521
-6691.64125049158,-6703.74914831017,-6683.3471581873,-6699.72287126944,-6691.50614640285,-6723.25685550641
-6703.48014154929,-6679.58168920299,-6690.77685435713,-6690.87712723418,-6700.55490650029,-6705.55038370701
-6702.92745182094,-6679.71778291575,-6689.17777602211,-6695.05843283175,-6689.60899104895,-6689.63016334612
-6677.68514106486,-6693.04294668784,-6685.13022545711,-6698.97145493259,-6696.64800780249,-6706.55278147836
-6676.0812404196,-6712.39135558765,-6716.57201905139,-6699.19935640721,-6693.26343931796,-6700.07211790036
-6692.31124997885,-6725.13859873746,-6696.81884660581,-6703.48702637036,-6700.59929682554,-6702.26075150239
-6692.9472511441,-6730.32881214608,-6719.3769444506,-6698.27449649658,-6698.42556819274,-6708.62909705143
-6683.82565269065,-6690.62743868872,-6691.71804631107,-6693.41846623243,-6716.03022079192,-6699.1436539842
-6693.65886305044,-6699.55647695447,-6706.59481561637,-6703.87063709991,-6700.87619747344,-6693.38291181561
-6706.28163615206,-6690.32838293643,-6685.68349107712,-6702.33029314705,-6699.02913481633,-6700.11913817534
-6695.06580982025,-6697.05384038397,-6692.82521466251,-6695.91232540241,-6688.09613093372,-6704.49104971533
-6688.55802596258,-6693.69609993488,-6679.23347463126,-6690.93882271623,-6685.59391560603,-6694.48525775484
-6679.83316461389,-6700.48398194145,-6679.60622955537,-6698.34346764412,-6701.78798137558,-6702.11844609187
-6688.53745058039,-6695.60862440445,-6679.39173683251,-6693.30673687478,-6688.8620762242,-6701.37687616605
-6671.7861725091,-6700.24298446059,-6700.87965257434,-6713.34630924369,-6696.23719764681,-6700.0444734541
-6676.41015673246,-6683.22263793394,-6687.01275227462,-6696.81415271903,-6683.60158711203,-6695.85691894888
-6688.25848792505,-6689.8669952738,-6680.55433655776,-6693.62328380643,-6683.60990722505,-6706.66174633677
-6677.36467520748,-6681.97718567451,-6685.16461326572,-6693.52334295075,-6678.74477018161,-6704.59182894888
-6694.79788891989,-6685.68119508671,-6678.72425554677,-6709.93296966681,-6688.70172158906,-6721.25515267963
-6680.94257776509,-6694.91938056265,-6684.50731356547,-6716.60592071865,-6694.48147850218,-6700.30819670449
-6678.31049567027,-6680.74826432775,-6679.20078840912,-6694.15812322862,-6692.95007182906,-6696.1324357167
-6684.15500751598,-6694.07310911839,-6693.66601572921,-6695.09545414716,-6694.54566229303,-6706.77369734952
-6672.91279386923,-6693.45973815941,-6704.06773988954,-6733.701012937,-6692.76496144114,-6714.51507894015
-6681.32605103789,-6691.94707990495,-6681.1536370752,-6695.14151772737,-6694.70829961852,-6713.3381827355
-6684.98114830054,-6692.15448383814,-6684.60033690389,-6700.86038919559,-6689.80974317853,-6716.01660035444
-6687.11835987733,-6683.70248170996,-6703.02771623801,-6689.03146651667,-6705.22599925964,-6704.83489164421
-6693.14467923281,-6695.06951377093,-6689.02849476021,-6696.51118774766,-6688.96102817436,-6703.4967370378
-6696.86391920505,-6694.50002110549,-6684.46058349411,-6699.00111249503,-6697.49673247856,-6711.7943006377
-6685.83956830016,-6696.852201661,-6697.65290443871,-6699.5220565452,-6691.105774702,-6705.0395929188
-6691.03182163532,-6677.33808217344,-6688.57017446698,-6701.63759658582,-6685.53628076214,-6707.18820259181
-6684.66029752139,-6692.26411815021,-6680.92108398902,-6702.93176452814,-6682.37229267807,-6702.34477715732
-6673.8243668877,-6691.09660361566,-6690.91997814812,-6685.74973171779,-6695.93510495315,-6711.84378003206
-6699.74571367557,-6684.71182815829,-6704.25148216728,-6697.54609210466,-6706.47773529537,-6699.2223478319
-6688.26210281147,-6702.13896018186,-6717.54548481441,-6691.90854225152,-6717.27080741651,-6709.4996101512
-6688.09719013954,-6673.17419885758,-6682.87410438002,-6684.63299459502,-6695.0733764165,-6701.27464447746
-6685.11269994399,-6687.58527759187,-6683.62398399584,-6682.70578333959,-6706.79184236327,-6709.45760198832
-6688.49982197604,-6689.05298451727,-6681.67455495959,-6703.29307931436,-6690.74065099312,-6727.49829266109
-6682.4515890052,-6699.51487585502,-6684.15324778354,-6696.2983108031,-6706.06576119797,-6698.96101541726
-6714.73788123295,-6692.10683408899,-6694.00683573894,-6712.28676503113,-6701.13333919721,-6699.58845838539
-6683.08370925849,-6682.82558814214,-6684.80345853123,-6699.93142157474,-6707.13983335045,-6698.00818060066
-6691.14072192709,-6687.02018097949,-6673.77372494635,-6708.50332068205,-6688.8519760187,-6705.00139401924
-6696.47422558685,-6680.51593438936,-6684.85583934144,-6688.23905821881,-6683.07955966804,-6713.49575617624
-6698.39695009581,-6682.89067946511,-6678.06321491253,-6691.18510227462,-6692.86628116543,-6710.66387317558
-6683.16483716637,-6687.39177133824,-6682.17246377526,-6687.73780492109,-6698.15235422771,-6703.48260707737
-6683.97119386482,-6700.57735813055,-6687.16881814185,-6695.63067120784,-6701.67205555545,-6697.96881210654
-6693.26860399636,-6690.53501393913,-6679.92577602411,-6685.91817941348,-6708.03739563555,-6705.69133419634
-6685.3505125364,-6683.17718377011,-6678.088094229,-6688.31606537836,-6696.84910485115,-6702.06596635843
-6693.46568326527,-6690.13987986226,-6667.64883963749,-6705.67445620717,-6710.09426054715,-6707.87534605845
-6688.69107468104,-6701.207579204,-6672.2848707644,-6697.20005807192,-6683.75854015125,-6742.97542967249
-6685.49443726025,-6682.82703512876,-6674.94023612391,-6722.37419579395,-6685.72130131119,-6691.97520890718
-6690.0510743346,-6680.4702606991,-6684.5741870863,-6695.88424944664,-6687.68830935969,-6698.23162590065
-6682.44802527048,-6688.55089974639,-6679.53376053673,-6695.61137970739,-6687.86728838489,-6705.49756500261
-6689.23759836041,-6687.39777828706,-6685.9762791776,-6701.66268055436,-6686.75885065479,-6692.57777003974
-6693.90426778028,-6692.37376989868,-6684.82358916451,-6700.4860223875,-6689.41601663042,-6712.16545551133
-6694.48561124857,-6687.35796240003,-6697.95073971764,-6700.03147803592,-6688.037258894,-6708.93430693586
-6684.90468616041,-6689.60928899108,-6684.08878960493,-6684.96272876514,-6703.69383906782,-6701.0132543735
-6700.97343672169,-6699.92201056862,-6684.02961188136,-6698.2144317603,-6695.62249951183,-6705.88898711009
-6692.55206099583,-6713.61691175906,-6690.26679022103,-6687.54950157661,-6721.39630062397,-6710.87422766922
-6698.84063330035,-6683.05069257184,-6691.19346539957,-6679.40962350978,-6689.09200735299,-6703.80730695602
-6692.65238615444,-6687.23901155425,-6692.87735518344,-6677.00384296092,-6686.54741559677,-6710.84286869307
-6692.91543442018,-6682.41642225633,-6690.10173026195,-6693.58372751689,-6674.26608745019,-6704.2656735267
-6680.60005266562,-6675.9730024667,-6671.00891247736,-6698.17132062671,-6702.21739192672,-6713.14021232364
-6680.76496359687,-6686.1400604644,-6694.00702274424,-6690.91503976903,-6693.84672884119,-6701.80639852781
-6679.5366635943,-6678.03163623903,-6697.58274076677,-6688.36545943672,-6684.82602664876,-6696.9153275706
-6683.01271309321,-6688.17911074352,-6690.36106359684,-6687.26588290221,-6677.77209748354,-6713.75401721642
-6678.19711436047,-6674.51541394309,-6725.32674085267,-6683.61677664711,-6681.64251264124,-6702.42755983382
-6679.00285152707,-6679.09123829017,-6689.48303642296,-6680.83937436882,-6692.05260129434,-6690.60028041653
-6710.68898157423,-6688.72062193156,-6700.39802946897,-6703.28508350318,-6704.8597336252,-6726.07992867152
-6690.9961360152,-6680.29600651298,-6688.82814459213,-6687.71394108194,-6712.53130531944,-6699.09410399753
-6700.2498057733,-6676.70766675488,-6691.86350082783,-6692.81975426669,-6697.5897250212,-6705.71354393903
-6681.20796674664,-6683.54766514501,-6698.88551848445,-6689.94136642493,-6698.65194549134,-6707.86124337115
-6693.87908077304,-6680.79963901612,-6690.85771974851,-6687.28923411178,-6693.8022980746,-6721.4856172818
-6685.5240876427,-6669.70204187608,-6682.24847294732,-6687.23206212369,-6695.39189966056,-6701.21408378299
-6689.22303723069,-6695.62593157245,-6692.49370796647,-6708.4797376861,-6697.76691442908,-6700.16779363234
-6678.2580532848,-6677.41015717052,-6694.8680469155,-6690.50638488616,-6703.02435856309,-6712.4340988534
-6691.94286352272,-6678.2844517205,-6688.85351536145,-6697.2319925408,-6691.35513095674,-6706.17147683023
-6679.68020446104,-6685.64291135303,-6687.61173680055,-6691.48164093967,-6690.71759688614,-6701.77676377112
-6694.62975530813,-6686.96813138159,-6699.56658979209,-6711.34989834339,-6688.66312030503,-6699.43092147417
-6692.94788722692,-6678.20585938398,-6691.94924433782,-6694.98618502698,-6699.08096137079,-6694.75993339752
-6687.90037258387,-6679.68219361199,-6712.66085594483,-6707.98339813467,-6696.88122619421,-6693.40250565948
-6687.45641817745,-6687.13202730768,-6677.69924323245,-6675.9711560646,-6694.92433743335,-6704.06909531945
-6687.08106020231,-6681.30064858902,-6701.62937564965,-6684.51757104213,-6695.90484091409,-6699.53067129136
-6682.73802802088,-6681.79344354569,-6690.55356764825,-6681.05034976576,-6701.16092321628,-6711.45775002553
-6690.09638236607,-6700.79416801554,-6700.61117617574,-6709.21648074635,-6711.53339091798,-6705.20700729104
-6694.23866895797,-6682.8539083147,-6702.26741486756,-6684.09287611518,-6699.02304009071,-6705.85795059919
-6676.03286342645,-6671.74798770291,-6702.72960837305,-6702.56933136822,-6694.74073270211,-6712.28751316385
-6671.25704349347,-6714.40990100527,-6690.28457176358,-6683.68747421751,-6687.32612531426,-6714.08917525878
-6690.33588168201,-6693.62705328295,-6684.90159722417,-6719.32428548923,-6704.63042613829,-6695.57640579464
-6676.72955121572,-6687.47780311869,-6720.08949181925,-6693.65125740704,-6698.83716929472,-6719.37349774453
-6687.453623763,-6685.7894288875,-6699.1755315277,-6693.71789906819,-6701.57823969036,-6704.83789342029
-6670.09649253134,-6695.55599670503,-6702.42838838506,-6692.3786862577,-6709.80666984907,-6710.74138136858
-6689.38229986773,-6681.58432956292,-6705.38211505527,-6682.47633911771,-6689.35567677779,-6711.78421953362
-6675.78276154683,-6702.55599048993,-6688.4285430151,-6697.86490717974,-6690.44109823199,-6707.73462686449
-6674.45506752768,-6685.03840011153,-6687.80170391121,-6694.19908491389,-6708.21697826989,-6697.16772329205
-6684.5579449806,-6687.30334682118,-6687.83619074608,-6686.28988727729,-6700.36605493528,-6688.84328218417
-6685.17849632623,-6678.7587466781,-6683.3299428172,-6705.32089068595,-6692.53560672141,-6701.18618936223
-6684.01466404414,-6686.5289850602,-6685.91910500218,-6687.92677045886,-6689.01487408644,-6716.22018753555
-6684.96070735562,-6691.03751386455,-6679.9857024696,-6712.5141323205,-6699.67827178242,-6703.59678554017
-6680.64330526551,-6691.03159189612,-6683.52977319742,-6692.29494996627,-6721.27746615166,-6706.53163746009
-6688.85802806033,-6702.31944640896,-6699.84217164443,-6682.66835341996,-6691.64506779093,-6702.74111447782
-6673.3708492033,-6697.90057788698,-6686.46710942585,-6697.60693353143,-6688.51872084702,-6703.15959446504
-6695.13861046449,-6690.26912445535,-6695.94725313598,-6703.02595750617,-6679.66110985907,-6714.85008401815
-6695.954844807,-6687.88748017863,-6684.16671335689,-6698.31873072989,-6692.48174577886,-6708.06722453954
-6683.07745678498,-6682.8905046347,-6677.08901808118,-6705.97091094076,-6705.25623405307,-6704.70449009369
-6683.88305282738,-6684.92549922122,-6685.58568620814,-6704.3783203076,-6694.85965317986,-6714.35918072853
-6682.03569308088,-6676.02709624108,-6684.84609819169,-6686.16922210667,-6704.70352769537,-6692.92139277448
-6692.81548752759,-6686.99917991947,-6693.30850101083,-6693.7216097721,-6704.12565612627,-6723.48926465532
-6682.60149758124,-6675.55198809839,-6694.76183496873,-6712.21805065734,-6701.97350490435,-6692.56299622061
-6683.25074348648,-6677.81363412359,-6692.74136451767,-6726.89624177453,-6691.70132268874,-6687.52852286822
-6680.45230237959,-6677.02522974599,-6691.15411957304,-6705.07098937866,-6706.09239944369,-6709.12108445794
-6684.03515808584,-6682.20631521069,-6692.15279295613,-6705.59691159289,-6696.9846386967,-6702.6701248045
-6695.79619032113,-6702.14030593439,-6683.08192831579,-6695.39793625671,-6701.37980903423,-6689.72187545897
-6701.19760494201,-6689.01884415813,-6689.66542502408,-6698.9902079484,-6705.90887408723,-6698.46071206676
-6690.93665379844,-6684.64686456705,-6704.04300629632,-6722.61954712637,-6705.26608481191,-6695.88556282946
-6679.13820827213,-6685.68489830481,-6682.59491290652,-6706.61295737969,-6708.67832781971,-6715.8735942012
-6703.36878236355,-6689.36552984906,-6700.02023312904,-6716.4925793872,-6709.06641064839,-6699.3745250813
-6695.33152597244,-6688.39375221773,-6700.30961081678,-6704.57808922431,-6711.34820248154,-6723.8022431579
-6674.81129752281,-6679.5953550417,-6698.19588162196,-6704.47957979015,-6698.34865366296,-6701.61854360675
-6690.61697736742,-6681.91129193308,-6698.36465536093,-6698.9419849258,-6715.95539295235,-6703.12953404965
-6688.97554000383,-6687.8115569722,-6697.44197548395,-6703.34998222094,-6706.67881077247,-6710.84634190259
-6700.67740910491,-6691.97655089064,-6700.49411390816,-6704.81896604567,-6712.82913184549,-6710.31762105599
-6709.44835936489,-6681.90527182835,-6692.66875473707,-6690.1244601561,-6716.04499968671,-6697.88622592482
-6694.70871284401,-6687.07858767948,-6699.66551711559,-6682.69438400076,-6716.56288294062,-6696.30897844513
-6687.12760919474,-6688.03986726859,-6695.3170774387,-6700.83860879996,-6718.17879998464,-6693.21184576853
-6701.8343787996,-6681.02630778502,-6703.21002465269,-6699.49539718553,-6720.33017374802,-6703.04167785141
-6690.83049065798,-6688.99917533761,-6691.79058530077,-6684.38547323589,-6698.2711235894,-6702.15427599024
-6679.67838239164,-6690.14619499824,-6702.76795034651,-6699.71471277125,-6703.4303914955,-6713.07226418537
-6700.89365550588,-6681.64445610164,-6711.27561178011,-6702.30881696841,-6710.43064485372,-6710.46259070225
-6686.61714604234,-6681.02536929825,-6693.83498763112,-6715.61794532425,-6696.78962969344,-6703.26966628187
-6685.98915966675,-6671.37823978733,-6691.86946685654,-6691.3074727026,-6716.79409181402,-6708.94377598681
-6687.13669687359,-6680.27909539159,-6683.18220256187,-6704.86145493717,-6718.19173152362,-6718.42720366965
-6686.60075139145,-6669.97996532126,-6687.78961518253,-6709.51677713684,-6719.99836681046,-6706.93427782026
-6694.68999708725,-6689.37989970721,-6702.53202608121,-6706.65395351698,-6758.7139244337,-6702.8059427388
-6686.41590368642,-6681.53132185935,-6690.4971948773,-6706.21301624853,-6699.34931917371,-6693.48001113224
-6695.54841088903,-6684.58728722461,-6685.42949941557,-6694.87271771878,-6709.36962483077,-6694.23888282452
-6686.75418204719,-6686.31256175238,-6681.22307481468,-6719.43474064514,-6711.26125764644,-6699.14811739459
-6686.81585554185,-6686.83491948451,-6683.87381544299,-6705.70363040412,-6711.42506893337,-6704.63412521398
-6684.38509320332,-6678.75582548717,-6696.5343394592,-6704.64508484701,-6711.91236564613,-6732.67250929785
-6690.46260458303,-6682.35976509068,-6715.38128187547,-6698.82604660225,-6699.87059833422,-6700.63580785806
-6689.28588404701,-6687.16875204812,-6708.11231166574,-6696.86357006046,-6713.80281780517,-6699.50362826823
-6681.45723076238,-6679.60013776765,-6705.45370043292,-6698.07825541621,-6702.01214176244,-6693.76704496393
-6692.08787241623,-6710.80957784312,-6701.89816838465,-6689.26056971949,-6690.09504657129,-6696.77652827424
-6692.52903542523,-6699.63097070417,-6698.08631781728,-6695.35692171171,-6689.65264173669,-6698.48307389129
-6687.98621696351,-6683.01979527245,-6690.0639533979,-6701.02994467566,-6689.42613231906,-6701.60158456279
-6689.02226102491,-6703.90039231512,-6706.98082315999,-6695.4608479498,-6720.94023064968,-6703.56837758955
-6724.51336891384,-6687.63201574732,-6694.88615523034,-6704.4268314404,-6712.05461343318,-6705.47862162161
-6694.77938626621,-6681.46574191711,-6680.61445370056,-6692.45188976758,-6694.16278585674,-6701.22433607788
-6690.12300805618,-6691.79210189687,-6696.55020732168,-6687.22513161375,-6693.51089274479,-6716.08329722174
-6697.43350883484,-6684.17852502501,-6688.67580682019,-6710.54783461111,-6696.02793193373,-6704.37689515601
-6689.40084324031,-6676.35255840602,-6674.30885588467,-6693.34652433861,-6694.50198272971,-6701.15965378699
-6680.9578469394,-6679.56209268803,-6675.00794378029,-6700.2646474537,-6691.35230204834,-6716.60778814546
-6686.42241703831,-6688.20433255646,-6706.01383084321,-6688.87186382621,-6692.43019165768,-6716.2851863777
-6685.83019567645,-6683.42056579143,-6702.40669352141,-6699.99747659797,-6690.98957020394,-6722.20703734664
-6682.74351181512,-6687.81185894774,-6706.67486518826,-6702.44627749396,-6707.14329090361,-6720.00017446312
-6684.90254020234,-6686.00544057049,-6684.70951025433,-6701.6645274377,-6695.70029010901,-6708.17590466578
-6699.62635088145,-6679.57256174457,-6681.08236199255,-6692.03072748766,-6713.83203654501,-6726.43784855812
-6690.02217368266,-6680.11966613728,-6702.80331677596,-6698.41435649438,-6723.94269030442,-6717.84136435505
-6693.65680505768,-6678.76173103493,-6708.60104634474,-6691.58636440831,-6706.37873897535,-6707.10231314111
-6693.29399921179,-6682.04444027422,-6685.90028474503,-6721.18075665983,-6705.06565609253,-6703.20370802865
-6682.19385173422,-6685.27088926334,-6694.83446435761,-6696.87790308113,-6710.88682571236,-6700.07098288922
-6682.90835207365,-6700.20712714661,-6685.26772522167,-6709.80294845441,-6711.31383631907,-6699.34352960583
-6678.5605103739,-6699.91623427624,-6682.66800382746,-6680.64800488254,-6705.10733671242,-6715.15842662923
-6682.08146067805,-6692.55402168679,-6700.23433712285,-6694.85778319152,-6709.37924980141,-6698.32957534958
-6696.77262599661,-6688.89066539782,-6689.65818727875,-6684.96961755132,-6700.31713455376,-6738.47000619164
-6690.18377070034,-6700.83778367279,-6707.881556086,-6693.29989822258,-6703.51669249221,-6707.55322429335
