"V1","V2","V3","V4","V5","V6"
-6673.53932759811,-6685.91127777829,-6685.21505183796,-6699.51755705493,-6689.66940806406,-6695.92637437683
-6682.50069816077,-6683.17057862594,-6690.46196086602,-6694.03434854501,-6682.40451837857,-6686.55840824097
-6691.69804159716,-6691.12213995471,-6681.63085045749,-6693.76785228744,-6691.98829011643,-6719.12286763421
-6706.61110914716,-6696.74704662136,-6675.20688317415,-6703.66431474651,-6689.58062415559,-6694.64382486346
-6685.43294190687,-6688.67177155252,-6684.2714748103,-6690.6291878029,-6720.57152021729,-6700.47005539173
-6689.1037848862,-6687.95264035808,-6679.13391491829,-6693.38808705348,-6692.55626309476,-6717.61838445908
-6698.21459211861,-6678.416432707,-6674.39082129908,-6696.49099189468,-6700.69922536026,-6724.39990330659
-6683.26667893921,-6704.78329549878,-6667.60248955357,-6690.99793150472,-6703.74818300826,-6697.34894224252
-6675.16985249301,-6684.80784431222,-6672.74705620341,-6708.95846636384,-6701.16031672155,-6727.97948276614
-6681.30035248476,-6719.43555642285,-6685.81064217484,-6715.783543753,-6710.95390586222,-6703.06923564233
-6683.44761148897,-6687.559955016,-6673.07578796567,-6716.87153524803,-6707.46422922357,-6711.63252764879
-6687.64090286705,-6695.20487345005,-6683.15303618343,-6701.68960428155,-6712.52240780187,-6702.98110027902
-6689.75223378954,-6686.00915836293,-6687.98504250583,-6704.80614256653,-6696.00983852387,-6701.65540277885
-6688.18044023806,-6688.43319022733,-6690.10612300687,-6710.13185461402,-6698.75812516088,-6699.78061760163
-6685.18851396675,-6697.37821915588,-6674.39992621994,-6694.51200510737,-6697.76715035325,-6687.70176714366
-6697.83914956041,-6678.2498494526,-6680.45565637924,-6706.59578887065,-6695.12241702344,-6733.36974885393
-6703.20200687814,-6693.7345502764,-6670.06949383094,-6694.77686857104,-6697.93441004051,-6711.39074789213
-6684.11583835965,-6685.46060625537,-6686.66798923702,-6702.17935425251,-6694.75399558982,-6704.62452448254
-6693.54448515374,-6697.82261587305,-6680.88783010497,-6714.53651050079,-6699.78343582711,-6703.57537727157
-6693.80341923529,-6697.27738151967,-6677.99242087865,-6724.85480621161,-6699.86432789561,-6705.16509920449
-6702.6266775291,-6678.04612312472,-6679.88488888035,-6709.33898696783,-6699.7394526098,-6710.28409823767
-6693.74658501283,-6682.22916487137,-6676.73332508527,-6689.78341643249,-6694.95779198518,-6707.60993671266
-6684.41788281483,-6713.04425190269,-6667.91606239718,-6706.21519833181,-6687.48174467459,-6724.21642910682
-6695.74222828124,-6674.42073513207,-6704.45868922243,-6704.35045927033,-6712.22781595434,-6723.74889649011
-6701.11317418109,-6691.34815626056,-6687.96201293735,-6691.60539040142,-6702.16933153442,-6707.9447481869
-6688.10783402438,-6681.38170018673,-6690.29569660557,-6686.3830963856,-6695.45627350452,-6711.78783898236
-6699.58578565459,-6693.70447901387,-6686.14457614194,-6684.29029777305,-6701.397216493,-6698.98290799342
-6685.5320521111,-6684.53367530996,-6693.86154376014,-6718.03332767632,-6692.56296410838,-6688.8898479756
-6678.77132418595,-6683.42086416803,-6676.94795629598,-6694.41009282441,-6731.24302390753,-6710.71413207751
-6709.04418097111,-6676.26803371019,-6687.07909261376,-6688.35447200972,-6704.58421349005,-6700.03796686432
-6700.44626880196,-6666.99162159004,-6695.53534618527,-6698.35128075237,-6703.72006687559,-6697.05603606238
-6684.67613067796,-6674.65525117558,-6687.35619071531,-6699.34252481445,-6688.13408425997,-6696.76485441361
-6685.06292080901,-6716.83496067378,-6681.17310184527,-6696.53552051804,-6705.89193903132,-6725.22325152486
-6687.38403477378,-6684.76652499687,-6677.39198930823,-6710.07899771492,-6693.50098569647,-6726.96080593643
-6693.26599672033,-6681.98094415366,-6675.63228294976,-6703.91641117268,-6695.55500962726,-6716.18746942114
-6690.56903829537,-6731.0808182071,-6683.559689503,-6702.20886296569,-6692.34308668827,-6710.08796151424
-6685.9316075289,-6707.61701140793,-6695.19562117388,-6693.70014781317,-6701.5377707494,-6706.07114348024
