"V1","V2","V3","V4","V5"
-5255.47719672255,-5279.70919569755,-5246.41683493153,-5261.80067585695,-5224.89689815252
-5265.70752254384,-5259.02220520691,-5253.72551744375,-5233.22632338663,-5259.02280449157
-5271.56055770903,-5268.23100081309,-5254.50887715282,-5257.40975654683,-5248.17026658599
-5247.81540578697,-5240.09185633138,-5261.82980030169,-5269.45431614608,-5252.42731850474
-5244.52743067843,-5268.00574582537,-5248.4192065388,-5269.40818368509,-5248.766027564
-5292.01400144541,-5241.17072438811,-5287.10040266324,-5250.51651756733,-5246.68587497279
-5270.13588205992,-5252.35421974119,-5269.67939423805,-5247.90893320242,-5272.34027772875
-5274.3014789473,-5263.15470795963,-5245.33871513254,-5265.07846162857,-5268.05717061961
-5262.82678308486,-5224.21713816679,-5232.98871318164,-5251.29747440396,-5255.50359670025
-5227.08062015927,-5264.74814513745,-5271.69815729046,-5241.3146776217,-5254.00741225422
-5300.08848703898,-5276.07163913376,-5267.82011265201,-5257.08708071747,-5243.51568755629
-5259.31145960725,-5253.21172565116,-5249.5300936795,-5250.48749835577,-5262.25022497104
-5253.95564714123,-5262.02479497494,-5248.41207565574,-5234.59026467038,-5291.74365260625
-5252.9139241865,-5255.37269323765,-5231.84542130362,-5257.87543857099,-5273.33406619721
-5237.67309802955,-5257.31840645935,-5247.83107440259,-5242.55647041176,-5276.03547361879
-5244.63756445006,-5224.31662119996,-5259.02351072252,-5263.82619411949,-5263.50626241876
-5215.48915790875,-5267.32088514284,-5264.06509457578,-5254.16373476718,-5255.47916697801
-5254.75698494759,-5244.28238142381,-5238.95203562073,-5269.93000041593,-5255.70836667696
-5241.29964142597,-5267.86712202611,-5262.85294272282,-5252.77736434219,-5245.80705673269
-5235.42800997368,-5263.53938527365,-5254.34274104676,-5254.97964603009,-5242.95539291971
-5213.97007124662,-5247.91891043005,-5260.64897128749,-5268.80630842429,-5264.13614389441
-5287.65864048634,-5280.43961617265,-5250.97150458736,-5263.18059045152,-5245.39626978032
-5257.51443457935,-5260.85087342795,-5280.12470264678,-5238.80388760286,-5254.92729668016
-5277.37201844634,-5249.37766966604,-5269.47308628573,-5231.78257660262,-5271.71576201971
-5286.21367736065,-5247.3046179621,-5251.50901030186,-5261.24148520984,-5278.51481501563
-5232.94944358416,-5244.97764168315,-5267.0201658195,-5222.73223834061,-5235.91049334593
-5244.43393121674,-5254.40730795846,-5256.48268114427,-5248.73282602336,-5275.59579009478
-5238.02823527015,-5242.99923138047,-5271.92103703221,-5273.61415677518,-5257.41791367937
-5273.22791886653,-5249.38923183486,-5273.70124578156,-5262.06456762661,-5275.90878844734
-5269.75946243233,-5240.94279755257,-5242.18017407933,-5237.57885186636,-5267.08998938478
-5272.23160147198,-5248.7887946044,-5275.59683647629,-5261.72329820339,-5250.11627239477
-5245.65287513235,-5244.45943978031,-5255.5435053683,-5269.57496185047,-5275.64457072835
-5233.4701675602,-5265.88857881554,-5272.70004534658,-5251.34699429717,-5258.23918362483
-5233.26703051964,-5260.79733058476,-5267.67397431434,-5277.45693881778,-5272.35745299829
-5226.87129626846,-5251.94856902057,-5231.03537216205,-5232.1540542319,-5279.50538924703
-5266.06286686767,-5267.45808510464,-5209.03738065139,-5275.35030152353,-5252.94027397844
-5263.55496259856,-5249.74033489714,-5246.90698690011,-5264.8769958855,-5258.26202946362
-5253.18397682166,-5240.04309411674,-5246.67399780395,-5254.72340331525,-5260.98512675757
-5276.6715377796,-5205.74323608353,-5255.65322809316,-5257.656588336,-5255.36997194217
-5267.78231790387,-5243.38618232035,-5231.40114414485,-5288.76049227693,-5277.42217803227
-5263.91915849651,-5266.42255820493,-5242.77890421094,-5257.23950690013,-5273.21428449852
-5263.4292412814,-5283.69331240173,-5254.08860602255,-5263.23941118546,-5235.69741346012
-5263.40361425148,-5250.74671588771,-5279.45444987615,-5234.05232101492,-5244.01925627993
-5248.36887193464,-5280.33901956337,-5270.36747877651,-5259.80524681155,-5253.43928331043
-5251.59940516188,-5254.75054173452,-5255.86190827562,-5244.24006383094,-5260.43704675277
-5245.17853251725,-5258.33166209764,-5267.62155548152,-5271.2802636973,-5264.66649485904
-5256.30809514985,-5269.25292280514,-5243.78426978154,-5224.26614741217,-5250.69634016504
-5276.46388961215,-5248.09473731994,-5248.72194922861,-5256.05909279351,-5261.61269634066
-5261.06698452807,-5278.82418394253,-5240.50808988504,-5235.90903546288,-5273.49059903078
-5234.06966202932,-5247.12435812216,-5243.67136673124,-5241.13700693621,-5261.97193253232
-5236.20328154414,-5259.48122281453,-5241.36581542723,-5257.66614331324,-5283.9116763594
-5242.90396057814,-5242.11821633608,-5260.52206168145,-5277.76309315561,-5234.01256828377
-5231.4866931677,-5254.1063092435,-5272.22571316785,-5247.35837691597,-5255.93340741205
-5260.95660003813,-5273.2746231721,-5254.83371324516,-5251.90566285603,-5241.32897913006
-5230.59608087669,-5272.68720269281,-5247.8769821245,-5224.95208488966,-5279.10872387132
-5235.7447590944,-5252.15844400493,-5223.14698068376,-5260.6100460608,-5266.06499905575
-5253.58675205966,-5248.50358509234,-5213.78240367128,-5283.4273581098,-5248.91050426672
-5261.7415575077,-5256.84686951214,-5235.26482020284,-5264.96471286875,-5245.92402446219
-5247.24439198643,-5246.13925529071,-5277.41230837675,-5258.94155954471,-5254.23883645269
-5248.95176051506,-5237.5512142482,-5264.67751449271,-5269.05234471755,-5246.98622679974
-5251.28029246437,-5281.16110043924,-5241.54989283432,-5273.90447642752,-5263.20935560458
-5240.81160830966,-5285.69530098696,-5233.29632139978,-5268.93417493776,-5255.18011591407
-5223.12972451013,-5294.35327748674,-5233.85720408768,-5259.9447732612,-5248.22586287286
-5237.84617551327,-5275.89656124477,-5279.07626959106,-5290.73939524773,-5272.38312252864
-5245.51979415202,-5260.87912171225,-5262.28673050903,-5275.25989640881,-5242.50180424302
-5238.93406289486,-5251.49696347206,-5226.09660559488,-5273.72138333567,-5256.44387602791
-5246.78897492535,-5250.65269332236,-5274.74529991993,-5240.12049544691,-5268.10335749111
-5221.20477232904,-5272.28241828569,-5257.90618945588,-5250.31390202988,-5255.10588596457
-5242.59824463081,-5256.28000885289,-5253.47724993514,-5270.91940598504,-5254.60258724834
-5253.09448065763,-5250.30267163917,-5251.12681677425,-5282.24538737282,-5255.89185232283
-5248.98521000104,-5293.99740491526,-5226.1835768572,-5244.33770576435,-5285.10389278464
-5262.08231391522,-5283.65579908491,-5251.23859384836,-5237.45637663814,-5255.23506771728
-5266.81347458787,-5301.64990397966,-5261.5680726691,-5278.73642174094,-5240.07270794117
-5260.40612922309,-5279.14141571209,-5264.82167123732,-5234.21015278495,-5258.3360322719
-5285.8540874688,-5263.05285800816,-5258.81373016929,-5226.79470690527,-5270.30169547473
-5243.35537267808,-5256.27404556346,-5275.7943404975,-5252.4345169884,-5248.52336899857
-5251.64317297122,-5283.69441991716,-5259.27598426087,-5237.24107088027,-5239.23121542464
-5235.50674907483,-5268.52628717562,-5265.25985031974,-5233.6427656672,-5294.00775612536
-5213.55392070645,-5264.83538931205,-5236.54063338843,-5286.09524864784,-5236.45631106217
-5253.35279842595,-5240.22410929379,-5260.23886650235,-5255.81505875047,-5268.54210231345
-5238.18547146357,-5256.20253990447,-5249.84924552116,-5265.83101354699,-5251.20340594465
-5240.60080741731,-5265.22384734833,-5245.27294826477,-5269.10028189921,-5241.81448402675
-5229.7026616334,-5251.29397874123,-5269.8546253081,-5243.7331600519,-5253.36175252551
-5271.31533636215,-5261.91100027022,-5262.61691575657,-5260.3554309023,-5257.05237967693
-5269.16135360856,-5273.2738702641,-5252.81199750166,-5241.21104279016,-5260.93963762387
-5248.98101823587,-5229.83264241625,-5240.70703566077,-5278.67692440789,-5228.91206110356
-5230.95607145014,-5266.49485936322,-5281.95145671234,-5271.91372301077,-5268.51925266029
-5259.86544364056,-5275.05375514719,-5260.79406302726,-5263.73316963751,-5268.77772174162
-5272.36626108644,-5249.00107682959,-5278.67307580859,-5248.88018009163,-5245.53849084583
-5282.62452480866,-5257.76176863574,-5248.46285379165,-5226.39243542952,-5271.35525125836
-5254.29828122496,-5275.51725632029,-5269.42004814669,-5245.9902226426,-5283.26471804323
-5248.87752445406,-5287.33686909842,-5273.47686609633,-5244.02360585431,-5269.70908051175
-5257.7897260192,-5283.27811098865,-5244.19131080572,-5239.50236491326,-5268.75783185355
-5208.12933137345,-5270.08468663186,-5256.20322426899,-5261.23365832983,-5227.35529475435
-5259.03284154605,-5280.98786311306,-5249.78302539876,-5247.70438356166,-5266.37680537944
-5245.43649278124,-5253.69422161875,-5247.66674453617,-5248.67735138431,-5282.85807467036
-5236.30784648467,-5249.27218674813,-5222.23130584968,-5248.8078076336,-5292.28048133943
-5260.0602395419,-5258.71556169594,-5234.25947455624,-5239.05025144632,-5249.95880270738
-5272.04847427953,-5253.9641289885,-5241.09218730093,-5253.4901696792,-5279.32465333393
-5218.41686605893,-5267.41053038875,-5234.39836576558,-5253.54467509006,-5230.25516707095
-5248.98944956983,-5247.26375026902,-5267.63832095219,-5245.31618837154,-5221.33441582648
-5239.68915453904,-5248.02695720132,-5242.04578448974,-5267.24247297276,-5249.94073631063
-5256.75341613445,-5267.8338992081,-5274.50658186981,-5266.53279877659,-5265.61290172136
