"V1","V2","V3","V4","V5"
-5290.89160571127,-5264.92013751506,-5245.41584532884,-5215.98592306385,-5254.86476695582
-5271.41706445948,-5248.62915014452,-5263.25283937556,-5295.39802698776,-5261.28479655901
-5262.20229553154,-5254.77677801785,-5249.55198588568,-5255.97085970397,-5264.43278012981
-5229.48537345077,-5263.39650468988,-5273.86657356136,-5214.30268002689,-5249.91982086584
-5249.22676551054,-5245.26631635749,-5249.6019145234,-5253.30898402383,-5267.32427633441
-5262.24578281944,-5275.01429459698,-5260.37762317482,-5277.22377201357,-5255.25886044238
-5252.25032767128,-5278.1853849838,-5270.1314053418,-5236.21702350394,-5268.06059287154
-5243.06039768719,-5280.78675847865,-5226.22543593913,-5257.64089221864,-5258.69596461523
-5257.4004268245,-5311.81621200144,-5239.02484178266,-5262.59872927398,-5243.75013221663
-5248.03022212902,-5256.27649996741,-5259.18255106604,-5283.36802306509,-5265.28600821664
-5240.67341422299,-5277.60173253923,-5283.70777349376,-5252.98206488998,-5247.62277120986
-5251.13590760976,-5254.95312403006,-5289.54696014123,-5239.74467859048,-5234.74335996371
-5234.66348710212,-5263.80882850374,-5258.7365597051,-5257.04069517088,-5257.28444565561
-5257.62687720859,-5276.48592464048,-5264.9731437012,-5250.38516185561,-5245.33536993853
-5262.19392800937,-5285.2696929075,-5253.71031912059,-5249.14596291336,-5256.09995295024
-5267.97368386588,-5246.15136548068,-5255.98639905957,-5236.71129355524,-5225.23084044388
-5247.56912412512,-5249.49862237011,-5256.82216004952,-5276.74885341732,-5233.02877398636
-5254.28613421973,-5240.58000770322,-5259.65455841674,-5264.72208680548,-5299.7538321238
-5252.04176951935,-5256.34468958071,-5243.86847082009,-5268.20469619145,-5250.87019659138
-5249.66544473399,-5251.3566869879,-5262.83569538788,-5248.54807004404,-5241.12932630627
-5265.6811229884,-5279.17338282621,-5253.62292590453,-5273.67402457551,-5265.99293797189
-5259.74902115495,-5229.48624104734,-5254.53190793617,-5252.19273496856,-5256.11300365749
-5241.69444524416,-5279.22541129203,-5259.50477158472,-5237.58914739148,-5243.90245361592
-5250.5622146981,-5238.37467672154,-5247.85030379852,-5282.43481753201,-5275.95287503578
-5240.28005244241,-5246.46900085895,-5257.5472499341,-5276.85086878741,-5235.01689586446
-5236.2744926006,-5249.43482868069,-5251.1838012742,-5223.51143954527,-5246.81742397986
-5232.54927782186,-5247.97202395047,-5248.86484640627,-5270.96802224673,-5282.37427305668
-5234.396774134,-5254.10290167598,-5255.16515411101,-5252.84984868098,-5246.47579514968
-5279.76531991957,-5261.53860037503,-5258.00259652487,-5233.08351557377,-5253.6691489842
-5265.56145823003,-5245.2697343489,-5258.9252497635,-5217.55324330769,-5268.44786000568
-5276.94549895861,-5258.84334106896,-5255.94386011873,-5267.26236959519,-5266.95147969064
-5264.35428489868,-5243.28076331703,-5254.19852386574,-5252.15908526287,-5240.33484334682
-5273.52505503654,-5290.2750894272,-5252.18204716196,-5223.76434895521,-5253.35778426444
-5254.63702459093,-5251.01772478566,-5284.19766012597,-5244.90606952444,-5255.93903865777
-5276.25038281822,-5264.32143118102,-5263.02150765122,-5230.4092293737,-5302.29686594514
-5279.12469724879,-5250.23163476385,-5242.48531417959,-5278.4741553559,-5228.67123152256
-5226.11684677727,-5249.36227212906,-5229.35485938316,-5259.86505403028,-5232.01472344188
-5242.10037612461,-5234.64261158161,-5254.01794984647,-5239.68858407466,-5223.89511894356
-5286.11947777576,-5255.33475759525,-5247.4831898262,-5244.78254882772,-5285.32621468184
-5222.34680916053,-5275.10067936748,-5276.44196739369,-5264.14468442725,-5247.5605745511
-5245.34518639661,-5263.68276662284,-5239.76961062267,-5241.21555946369,-5245.096886846
-5258.59040405933,-5260.76298271113,-5263.61557129959,-5278.67325725316,-5246.86724319934
-5252.16540333806,-5274.7241631856,-5269.42854417332,-5249.95360271825,-5271.51426720038
-5253.98633323439,-5244.9502547312,-5245.23394667795,-5273.71658936639,-5302.35792075301
-5236.69602532895,-5251.50854126464,-5237.31885982144,-5286.37982792492,-5278.55014399387
-5253.50873111387,-5282.54587900696,-5264.99530444122,-5271.09278773761,-5261.41488845583
-5255.74655333121,-5272.18997653656,-5248.91354806028,-5299.23279588022,-5257.46369585409
-5297.80779043727,-5281.4465447222,-5227.33726669491,-5254.20142659825,-5238.52643299713
-5284.6115387507,-5267.02404860423,-5279.11541542189,-5243.80775662354,-5252.60229055822
-5259.51003542171,-5264.54903835517,-5254.89541829368,-5265.66303024532,-5254.00359128299
-5288.92798584185,-5268.80695195731,-5265.27891998421,-5226.16109899282,-5262.27632305499
-5239.85717727503,-5259.45255640572,-5239.94003282932,-5211.60961495495,-5253.51180749986
-5294.62476237889,-5240.97947815947,-5258.98678316109,-5254.06256216195,-5217.4039048056
-5270.78872128676,-5247.61134581433,-5267.2826952211,-5233.51619094949,-5258.8419112163
-5235.7325742773,-5241.97693844802,-5259.50888138728,-5254.96363292264,-5275.54639038566
-5257.6734354944,-5257.47116488734,-5229.81604685417,-5248.16871663763,-5228.23610468395
-5251.88810811459,-5257.83268182485,-5242.89323033259,-5270.9651363218,-5254.37410707382
-5283.29465826464,-5243.99067413625,-5230.51980651968,-5241.18992498778,-5264.69913897403
-5253.77142915226,-5258.00693357792,-5249.83797007127,-5267.52950134313,-5235.7268549809
-5246.88911036479,-5261.45268776021,-5247.20140304662,-5236.56401708839,-5248.58897236173
-5281.44868378048,-5241.91014228213,-5273.96199630969,-5255.35882786682,-5278.00473593576
-5257.31687647672,-5222.12170371617,-5259.21861594308,-5245.99842225663,-5222.64694156255
-5254.13117634031,-5254.22355898254,-5240.33490351745,-5243.85588527535,-5256.73376696953
-5237.13780556182,-5252.4448516866,-5217.32174645363,-5257.501785699,-5252.74269846188
-5238.53769311705,-5269.97128448954,-5264.13979718167,-5256.31747832682,-5236.32932057109
-5244.66950302413,-5257.2660029599,-5240.32051015711,-5249.13483086395,-5261.96725493231
-5223.4193699192,-5278.62777683115,-5263.87341509468,-5257.68442542609,-5267.30638879776
-5257.51447781668,-5227.36087475734,-5283.5187128226,-5248.86071647045,-5236.48508016064
-5268.65648737716,-5253.77533057349,-5245.34238603872,-5284.19128679778,-5238.38969955093
-5281.76427480999,-5276.54165765958,-5266.40798682254,-5283.31578484592,-5293.41455499433
-5261.70222162056,-5255.79917076901,-5256.01711962782,-5261.6731556167,-5240.94633018043
-5239.47348470015,-5259.97407523545,-5254.97670884732,-5235.66304194607,-5261.83016720113
-5261.80282843726,-5287.2840517918,-5254.78226039739,-5266.47023798599,-5262.58465246648
-5267.77741399603,-5247.88579298514,-5266.28510066207,-5237.68169589532,-5238.15498577875
-5261.83130036919,-5255.17909430635,-5250.5086214263,-5273.13008798067,-5253.05350776921
-5228.06719965289,-5239.97707958332,-5234.60773890286,-5238.05689786933,-5252.72633098282
-5234.22341425808,-5263.41861850669,-5229.66876827598,-5244.20797301907,-5237.21828556213
-5267.05212019677,-5277.07904411606,-5276.17309945253,-5261.78460250759,-5260.84412201439
-5262.16282463046,-5266.80244737936,-5233.58932894808,-5266.73838235559,-5231.92734419868
-5261.33416064426,-5266.35820146466,-5270.30289693557,-5250.85926968271,-5261.32092177926
-5243.31693002029,-5270.73290143325,-5258.54108871567,-5264.23952748101,-5251.57948603697
-5255.27691228952,-5246.5938631116,-5226.46149424368,-5236.36929732844,-5289.0860558095
-5236.29279897451,-5237.735972995,-5239.89003781669,-5239.69732718798,-5262.04705584816
-5234.37904933032,-5259.01850976227,-5267.1146779149,-5260.1808235021,-5259.61520918974
-5237.81979907206,-5284.87058994817,-5233.56207391072,-5248.50250087176,-5244.14396396323
-5248.42958975304,-5292.22989262004,-5254.72746892532,-5261.49582589766,-5261.39353524872
-5285.79628589075,-5255.19465584987,-5255.88450627841,-5256.08852011352,-5277.56050542855
-5241.87379973428,-5258.39882137325,-5264.78785823004,-5242.20076430395,-5274.36618488222
-5235.24508307685,-5259.69439204473,-5219.23677818106,-5252.2547118302,-5266.36190320723
-5251.64571957198,-5271.35429131493,-5252.95337470495,-5286.68007608009,-5262.65340991845
-5284.43115278168,-5235.29931367808,-5262.2543262074,-5259.3972157757,-5286.19202920883
-5250.19730278956,-5255.40961546129,-5234.10108416275,-5252.31536459666,-5274.38642365714
-5278.47917539421,-5252.19687530426,-5282.66475421821,-5252.82625751286,-5242.13708710901
-5225.64054036372,-5251.91366236532,-5257.51412054085,-5240.57172609819,-5278.19962291161
-5258.0436376977,-5216.10885907678,-5240.52498008011,-5266.50835529508,-5306.5842112524
-5290.73056998575,-5232.79478105392,-5245.81293775987,-5252.8691591465,-5276.72879537539
-5253.8191957454,-5273.23242484273,-5285.06206753091,-5260.13343444188,-5258.05161804888
-5260.39845412472,-5254.4262411106,-5264.91804284381,-5253.40617428221,-5266.16172534366
-5252.51419427057,-5268.74607353916,-5222.21016724213,-5277.80167854505,-5256.13345173437
-5274.81057497349,-5261.7717489696,-5240.38773342944,-5256.42665305667,-5257.89897521418
-5246.01077824497,-5242.66193912352,-5246.6289872124,-5282.59995927831,-5253.15734730769
-5274.30213738857,-5268.1859091217,-5274.53372750537,-5283.8976749319,-5261.13171329679
-5255.4876398671,-5260.53306210111,-5268.1735246946,-5259.69700706864,-5279.67099388847
-5262.16324291244,-5245.14451449324,-5271.27418583611,-5263.28509388867,-5271.86422470873
-5255.26833450107,-5232.01538102832,-5244.7629848087,-5283.3024601553,-5266.00393152559
-5268.72047826909,-5267.81701821236,-5265.26504147236,-5287.7923036934,-5255.73987943398
-5255.13485904491,-5250.52033733301,-5252.58645803823,-5279.68328994923,-5254.23044682104
-5278.04388984051,-5272.9210331805,-5275.07029946649,-5267.7421882734,-5262.70412924947
-5245.78770982475,-5261.24477668879,-5263.37123506092,-5255.97895100749,-5265.79713965602
-5258.73349893599,-5255.51997459962,-5282.20036801294,-5277.44239961043,-5248.94904012803
-5261.74957819836,-5246.48098208559,-5268.47831265458,-5256.42353373505,-5291.22200445196
-5259.91091181652,-5245.72517129932,-5251.45739785607,-5243.21175120681,-5241.27981356905
-5245.60594414928,-5288.96279831872,-5256.06747869522,-5262.01184068968,-5268.17879113793
-5284.62682674897,-5259.09068886449,-5258.85371209134,-5236.2079489523,-5247.23462869143
-5259.52118274761,-5243.73260708049,-5252.92039966494,-5240.79441460346,-5276.03868037453
-5250.29284917924,-5249.59234262893,-5270.79005363235,-5252.76469775726,-5270.23912221355
-5209.19593599481,-5288.69389211116,-5262.1289551678,-5286.94540659618,-5296.14257159783
-5248.89628269684,-5255.53770358775,-5280.51912538281,-5224.2806758464,-5266.51582656086
-5263.63851854235,-5256.05469714082,-5286.72034671048,-5261.12309072775,-5269.36318218399
-5255.25192359148,-5267.06231734465,-5281.58955761047,-5268.32261277698,-5279.18222834363
-5259.70320405262,-5258.8963504976,-5250.71927630168,-5211.39880972344,-5279.91639221561
-5239.96231797838,-5256.59266830925,-5243.90505499778,-5242.30579792433,-5251.34514997042
-5269.91977448993,-5255.98468113927,-5232.2616430844,-5267.64077442784,-5242.62805890548
-5256.6997129301,-5269.49580874311,-5223.12626187751,-5278.5220498987,-5288.34792413256
-5247.28498282641,-5252.94268292845,-5252.12051871416,-5246.37381685064,-5265.13153178363
-5242.54108980828,-5255.79912737547,-5234.8421192234,-5251.32880482879,-5274.06824879702
-5224.47969566436,-5282.28576138953,-5246.89352141618,-5238.77176671384,-5252.5231219542
-5274.06867759229,-5271.31961134802,-5258.12091385754,-5280.63003095537,-5249.71562203548
-5264.2860866693,-5239.33737194447,-5261.26750461993,-5252.20915528902,-5234.45479990944
-5253.86307174769,-5246.01885991347,-5273.43833551949,-5290.4564463455,-5258.77496090468
-5239.71583611118,-5257.60312633947,-5252.67392807694,-5262.17805637337,-5249.17114229585
-5258.41149926926,-5256.94064093293,-5256.70181611799,-5274.0474262207,-5260.19999978891
-5257.24948944555,-5247.36216859288,-5256.56748290421,-5246.7010449673,-5257.5120008919
-5265.84949653641,-5256.33846411984,-5258.51027267496,-5245.64060063049,-5255.80334293772
-5283.72179903865,-5239.4526374629,-5264.58458051077,-5257.51142383465,-5264.07214316792
-5281.88604941949,-5259.58145247971,-5291.43082580463,-5245.37036162891,-5246.63507092328
-5268.37109447194,-5225.25400857382,-5301.4809850408,-5282.81902219861,-5283.18848166275
-5266.69412979793,-5281.73664396757,-5228.29461662015,-5242.0919017837,-5272.60235234698
-5274.32387723083,-5271.88940054052,-5274.81848587789,-5257.41896373165,-5253.93393746561
-5251.51547447193,-5251.92665209609,-5260.58304800814,-5239.31010880739,-5264.07646559964
-5241.94950199072,-5240.16900571657,-5224.21355338635,-5257.42646076488,-5258.56413205126
-5232.05721631193,-5266.63122909085,-5243.61205644135,-5233.31629141584,-5231.61727703384
-5256.870808598,-5242.56835869574,-5241.30895812057,-5253.21212898405,-5256.17416277135
-5264.13655116752,-5275.64424678415,-5251.33206219772,-5247.53093534296,-5236.86005521192
-5275.79374519357,-5265.09191178147,-5259.16163412042,-5277.48182372693,-5248.26747569626
-5235.01559832551,-5256.80783687571,-5267.6205031653,-5274.74509366355,-5259.16063100351
-5240.97194799753,-5266.75166237198,-5229.16023040858,-5254.792543288,-5260.13105558505
-5260.4212877824,-5257.7433580363,-5257.39082827827,-5242.54425080628,-5271.00549159402
-5263.51566890036,-5279.43365161984,-5255.90966524853,-5307.24039472276,-5265.06156161904
-5236.20032156468,-5256.56029805976,-5239.36021549813,-5284.48656802043,-5273.0722611701
-5218.29817004385,-5257.73799646663,-5242.81276640668,-5295.02376385411,-5241.83486850962
-5260.94403936945,-5262.81009377847,-5258.67992004446,-5276.43937300478,-5242.42972594595
-5242.06886163404,-5274.73068803946,-5284.93773165542,-5265.21188629491,-5255.93438004945
-5247.84075756278,-5263.04234760336,-5240.38811540638,-5246.85107948771,-5282.69455588601
-5227.94213204526,-5268.11268051241,-5259.96131717815,-5280.57672700522,-5261.84464659357
-5269.79348598692,-5279.91400473391,-5244.95446196309,-5289.63114420415,-5258.73770939119
-5237.87595358595,-5250.3956139803,-5250.09254254744,-5270.55173895306,-5232.17984999174
-5257.00093114186,-5253.68733526627,-5268.67399609122,-5318.50029729902,-5277.33807888665
-5235.38036453061,-5287.56327570195,-5235.24708162619,-5278.78007667629,-5279.6403321081
-5251.40651965852,-5270.75881821324,-5233.08095594815,-5271.74255743508,-5277.01225090211
-5227.77287004012,-5260.06712773962,-5274.94918370033,-5271.68335784502,-5252.92234627713
-5241.88991025834,-5231.97149214943,-5275.21138663353,-5277.40386193082,-5265.94802671622
-5235.3147328919,-5291.28806569207,-5288.91414722041,-5248.06594540398,-5226.0549642743
-5253.80000307868,-5255.72878609457,-5260.26504923423,-5255.08994603158,-5297.94197909715
-5233.49743024203,-5274.7658764422,-5260.09258803145,-5253.87714522066,-5273.8439944685
-5247.31966867031,-5254.59825497922,-5249.56032978136,-5281.61292598779,-5245.81747082202
-5213.31967255917,-5284.24703237086,-5236.5880773204,-5247.85043619458,-5261.78445782064
-5231.408146654,-5267.03682282216,-5250.59930198325,-5280.57807855659,-5271.21600737506
-5259.17836702297,-5259.32925465035,-5255.82394950514,-5253.97305940837,-5271.72385809598
-5247.40518850194,-5270.53378067703,-5249.01357296636,-5262.38024010783,-5244.27677296831
-5249.87874238992,-5282.01651882511,-5230.75989587567,-5267.39708844245,-5253.68385462767
-5268.7215240797,-5235.65332595824,-5236.40243244385,-5270.54962087636,-5267.39399943431
-5255.0419443068,-5255.1206111571,-5257.68766790441,-5269.1137566452,-5280.53026489718
-5236.64278854218,-5266.15937872157,-5261.34761544669,-5261.22463878763,-5249.33481052121
-5266.58141336853,-5240.23672753071,-5245.08417313176,-5242.39832946362,-5268.44617107028
-5240.83075666836,-5252.82072738131,-5282.76488423834,-5255.76464468384,-5273.89497043978
-5256.67620418128,-5266.55610345327,-5241.46226573773,-5279.024290829,-5266.68657634544
-5262.88687218273,-5263.38935738135,-5241.83169966547,-5263.47138493601,-5255.6456218854
-5277.92648061093,-5255.18077217605,-5247.73155156813,-5279.47241488916,-5254.42430619412
-5265.06650992048,-5261.98355886708,-5277.37580388547,-5268.87812103328,-5240.23528381807
-5250.38429729165,-5268.84913813847,-5275.84083749896,-5254.57036275213,-5285.32878802423
-5231.28726392889,-5276.09417573927,-5276.71631408319,-5263.03881539689,-5284.87174520043
-5261.788134305,-5263.40955700097,-5237.55091999317,-5250.97953801036,-5237.50120427503
-5248.24863725806,-5265.54079469458,-5253.35707025582,-5271.9364796374,-5284.10912061807
-5253.92560919508,-5234.98526497678,-5277.72272829556,-5260.8731930826,-5256.24641310538
-5256.09355298049,-5259.62068873803,-5231.19726723727,-5260.248522845,-5271.04520840647
-5229.32407601981,-5241.82515871631,-5259.48865062449,-5249.9450792127,-5274.22606232515
-5255.56075130113,-5284.50089832894,-5252.19177185104,-5276.70667087288,-5268.46719970697
-5259.8812906581,-5265.43560901417,-5253.18909097465,-5260.26117066172,-5249.35441697296
-5237.07846588078,-5267.72614751593,-5245.79483444546,-5282.34423499643,-5249.3809070025
-5244.00773843379,-5248.92676657543,-5243.23307743185,-5270.4784399065,-5284.38003979756
-5253.31384179874,-5257.80001995203,-5267.05929176489,-5277.66867224748,-5267.5588794548
-5238.36505617628,-5230.74556268316,-5254.47439079875,-5239.96126679681,-5260.27774625297
-5276.50068600278,-5254.03631933207,-5235.02571590343,-5248.54305379957,-5280.29532754694
-5232.91629421321,-5222.67616014331,-5263.09874911618,-5260.20529217307,-5259.51060679112
-5255.52244211753,-5267.36611324898,-5219.78631227332,-5262.29028566801,-5258.9406322742
-5252.27533839505,-5256.23240285074,-5271.80703211191,-5270.12421118729,-5266.92491747208
-5264.11659211294,-5237.35950391773,-5240.13292354637,-5240.03687591841,-5277.07461197096
-5247.5305117822,-5236.85437358429,-5262.75810126546,-5293.5596170389,-5237.81617652909
-5272.61303167865,-5253.7620305429,-5278.42974716906,-5261.50222224081,-5284.86293047224
-5266.67596585436,-5246.31198502165,-5252.55269737897,-5229.05934669111,-5262.69777478824
-5251.6052167479,-5248.08302688861,-5244.92911245517,-5223.2360704694,-5259.44049864784
-5239.89538908187,-5254.40790468311,-5265.71157740764,-5239.81289392782,-5248.21145527013
-5247.53335398033,-5245.62550134163,-5262.82933295221,-5272.67597476541,-5236.54307515236
-5227.73293184787,-5237.71740458317,-5237.26630300244,-5270.74588156576,-5241.68674848561
-5257.39216804006,-5260.29323650261,-5267.97090714987,-5245.05439392557,-5260.85089667068
-5262.52992854774,-5226.33145006646,-5264.52910991152,-5256.23658843943,-5272.53774596209
